Id,TagName,Count
2,api,179
4,government,142
5,energy,32
13,medical,86
15,city,70
16,county,21
19,economics,79
20,cpi,2
21,nonprofit,10
23,fcc,5
25,rulemaking,2
28,authenticity,1
29,trust,4
30,creative-commons,18
34,releasing-data,107
36,analysis,18
39,address,21
40,postal-code,29
41,germany,28
44,foia,9
46,english,36
47,names,26
48,products,38
49,prices,29
51,wikipedia,31
55,language,74
56,brazil,3
58,sentiment-analysis,20
60,maps,92
64,parsing,8
73,data.gov,180
75,wikidata,53
78,normalization,2
84,pdf,7
85,tool-request,69
87,real-time,19
90,india,26
92,crowdsourcing,7
93,unstructured-data,9
100,metadata,62
101,csv,31
102,standards,33
104,best-practice,54
105,ckan,30
106,data-portal,20
107,corpora,29
108,conversion,8
119,licensing,58
120,elections,21
122,data-format,59
123,documentation,7
127,open-definition,13
132,barcodes,14
134,caveats,2
137,federal,13
138,weather,102
139,noaa,16
143,historical,66
146,linked-data,46
147,geospatial,330
149,github,4
155,social-process,7
156,extracting,15
157,data-request,2081
159,europe,56
161,crime,30
164,census,45
165,taxes,16
167,usa,365
168,healthcare,137
170,iati,5
171,ict4d,2
172,aid,4
176,finance,94
183,ethics,4
184,mosaic-effect,1
187,network-structure,27
188,film,23
192,geocoding,42
194,transportation,76
195,uk,74
196,web-crawling,46
201,rdf,18
208,education,69
210,ngo,5
212,bittorrent,7
213,html,5
214,json,33
215,openrefine,3
216,r,36
218,audio,25
223,state,16
227,public-transport,31
228,images,72
229,district,6
230,kml,11
237,chicago,4
238,socrata,8
239,reliability,5
240,traffic,30
245,biology,22
250,uses-of-open-data,101
254,sql,19
257,spending,5
258,music,37
261,programming,47
263,visualization,8
267,french,4
268,canada,15
273,japanese,5
275,real-estate,32
278,contributing-data,4
279,machine-learning,139
280,openfda,146
281,nlp,95
282,sports,67
285,search-engine,13
291,drugs,21
293,irs,7
297,games,18
298,japan,12
300,industry,15
301,companies,39
302,software,21
307,wiktionary,2
308,survey,15
309,legal,47
318,wikivoyage,4
321,security,12
322,disease,13
323,recipes,4
324,calendar,13
327,environment,23
328,australia,13
329,healthcare-finder-api,30
331,social-media,49
332,bank,12
333,media,21
334,income,21
335,big-data,16
337,france,15
339,fbo.gov,2
343,trends,9
345,ontology,15
346,religion,6
347,openstreetmap,22
348,time-series,45
350,africa,20
352,excel,6
355,dictionary,23
356,demographics,47
357,business,58
358,opencorporates,5
359,food,41
364,aerial-photography,9
365,trade,11
366,asia,8
367,police,7
369,doi,5
373,inspire,1
374,sea,6
376,sunlight-foundation,3
377,us-census,88
379,poland,2
380,north-america,6
381,okfn,5
385,usaidopen,18
386,research,71
387,telecom,19
388,api-request,120
389,books,12
390,singapore,2
395,internet,39
396,xml,4
399,sparql,23
405,hadoop,3
406,computing,25
408,military,6
410,worldbank,7
411,python,21
413,faces,10
414,global,45
415,wikimedia-commons,6
416,photographs,8
417,parking,5
418,oecd,2
419,ivory-coast,1
421,leak,5
422,email,9
425,space,4
429,latin-america,6
431,odbl,2
434,collegescorecard,58
435,txt,2
437,labor,46
438,translation,8
439,mimic-iii,106
442,land,5
444,glam,3
445,randomized-trial,2
446,text,10
447,openfec,5
448,pubmed,5
450,5-star-scheme,8
453,population,23
454,gdp,5
455,fashion,2
456,cars,16
457,publications,3
458,disaster,5
459,dbpedia,6
463,ai,5
467,terrorism,2
468,bibliometrics,4
473,sensors,5
474,privacy,5
475,politics,10
476,rest,5
478,economy,3
479,odata,3
482,cost,2
486,football,4
487,china,7
489,depression,1
490,anxiety,1
491,mental-disorders,1
492,chile,3
493,lgbt,4
494,travel,7
495,argentina,1
497,genome,3
498,usgs,2
500,climate,13
502,mooc,2
503,polling,2
504,animals,3
505,agriculture,8
506,longitudinal,2
507,database,22
508,fire,3
509,medicine,3
510,disabilities,1
512,shopping,4
514,restaurant,2
515,categories,2
524,korea,1
525,soils,3
527,classification,15
529,publishing,7
535,ireland,3
537,astronomy,6
539,journalism,2
540,news,3
543,south-america,3
547,shapefiles,12
548,ipeds,1
549,oceanographic,5
550,meteorology,4
551,land-cover,1
553,ski,1
554,geohazard,2
559,wordnet,1
563,immigration,1
564,electricity,1
565,mapping,4
566,jstor,1
567,stable-url,1
568,russia,2
569,icd-9,1
570,iceland,1
571,spain,1
574,technology,2
575,academia,1
576,open-access,2
577,us,1
581,fasttext,1
582,word-embeddings,1
583,word2vec,1
584,untagged,1
585,ukraine,1
586,accelerometer,5
